icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp
4b1815,SWR339H ,Switzerland,1784797435.0,1784797435,8.2616,48.1973,4823.46,False,164.54,124.68,-3.25,,5029.2,1000,False,0,2026-07-23 09:04:03.321935
39de4e,TVF18NF ,France,1784797433.0,1784797434,21.9296,37.3476,4335.78,False,129.67,344.59,13.33,,4587.24,,False,0,2026-07-23 09:04:03.321935
3ffc29,DMFSS   ,Germany,1784797277.0,1784797430,12.7177,48.3501,739.14,False,36.1,4.09,-0.33,,,7000,False,0,2026-07-23 09:04:03.321935
4b1817,SWR8PZ  ,Switzerland,1784797434.0,1784797435,5.6734,47.9427,11384.28,False,220.21,313.01,1.3,,11757.66,3025,False,0,2026-07-23 09:04:03.321935
4b1819,SWR9ZA  ,Switzerland,1784797435.0,1784797435,-0.2484,42.7974,11590.02,False,261.5,69.14,0.0,,12222.48,2324,False,0,2026-07-23 09:04:03.321935
ac494e,CMD3    ,United States,1784797434.0,1784797434,-121.2757,38.7479,678.18,False,64.04,43.7,2.28,,685.8,1200,False,0,2026-07-23 09:04:03.321935
408120,VIR185V ,United Kingdom,1784797434.0,1784797435,-0.6694,51.4549,891.54,False,133.99,258.26,9.43,,1043.94,4612,False,0,2026-07-23 09:04:03.321935
39de4b,,France,,1784797432,,,,False,0.0,171.56,,,,,False,0,2026-07-23 09:04:03.321935
408124,EXS7RH  ,United Kingdom,1784797435.0,1784797435,-7.0548,40.1487,11277.6,False,211.59,192.21,0.0,,11910.06,5421,False,0,2026-07-23 09:04:03.321935
88044f,AIQ3166 ,Thailand,1784797227.0,1784797435,99.838,16.674,9753.6,False,234.28,162.36,4.88,,8191.5,,False,0,2026-07-23 09:04:03.321935
39de4a,TVF67YK ,France,1784797434.0,1784797434,-6.7282,35.0673,11597.64,False,244.34,27.05,0.0,,12374.88,6472,False,0,2026-07-23 09:04:03.321935
408121,VIR106F ,United Kingdom,1784797434.0,1784797434,-5.4555,56.5146,11887.2,False,245.46,147.41,0.0,,12435.84,7652,False,0,2026-07-23 09:04:03.321935
7c6b2b,JST820  ,Australia,1784797197.0,1784797197,153.1235,-27.3853,,True,5.92,309.38,,,,1440,False,0,2026-07-23 09:04:03.321935
4b1813,EDW403Y ,Switzerland,1784797434.0,1784797434,17.2593,44.547,10972.8,False,214.62,315.0,0.0,,11338.56,0067,False,0,2026-07-23 09:04:03.321935
39de4c,TVF13NV ,France,1784797435.0,1784797435,2.3579,48.7267,,True,0.0,64.69,,,,,False,0,2026-07-23 09:04:03.321935
39de57,TVF95MC ,France,1784797434.0,1784797434,2.3585,48.7199,,True,3.86,118.12,,,,,False,0,2026-07-23 09:04:03.321935
488284,SPAWE   ,Poland,1784797435.0,1784797435,20.8783,52.6122,556.26,False,38.89,52.52,2.6,,556.26,,False,0,2026-07-23 09:04:03.321935
39de59,TVF38ZT ,France,1784797434.0,1784797435,-0.4085,45.2576,10927.08,False,230.68,24.51,-5.2,,11460.48,4337,False,0,2026-07-23 09:04:03.321935
7c6b41,JST465  ,Australia,1784797334.0,1784797336,144.8467,-37.6761,,True,2.83,81.56,,,,1164,False,0,2026-07-23 09:04:03.321935
39de58,TVF54PL ,France,1784797435.0,1784797435,13.8191,44.9699,11887.2,False,258.34,129.59,0.0,,12252.96,7563,False,0,2026-07-23 09:04:03.321935
801640,AIC2UY  ,India,1784797385.0,1784797385,71.5955,20.6225,9144.0,False,233.56,20.23,0.0,,9692.64,,False,0,2026-07-23 09:04:03.321935
