icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp,hour,day_of_week,traffic_density,high_traffic,time_of_day,time_of_day_num,speed_level,speed_level_num,altitude_level,altitude_level_num,slow_flight,delay,delay_prob,risk_level,delay_reason
00812a,ZUPBL   ,South Africa,1790060100.0,1790060100,28.1965,-25.9173,1706.88,False,69.26,74.93,0.0,,1874.52,,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Low,0,Low,0,1,1,0.99,High,"Low speed, Low altitude"
008180,ZUVAR   ,South Africa,1790060021.0,1790060021,28.5436,-25.852,1684.02,False,74.24,226.68,-3.58,,1882.14,,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Low,0,Low,0,1,1,0.99,High,"Low speed, Low altitude"
008239,ZSOFD   ,South Africa,1790060018.0,1790060018,28.2065,-26.3039,2324.1,False,113.94,12.78,1.3,,2537.46,,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Low,0,Cruise,1,1,1,0.99,High,Low speed
008431,ZSCMM   ,South Africa,1790060101.0,1790060101,12.7012,-7.2213,7010.4,False,214.36,345.83,-14.63,,7429.5,,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Medium,1,Cruise,1,0,0,0.01,Low,No risk
008487,LNK882X ,South Africa,1790060100.0,1790060100,28.8542,-26.6931,5829.3,False,175.54,296.26,-7.48,,6179.82,,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Medium,1,Cruise,1,1,1,0.99,High,Low speed
0086f6,LNK129W ,South Africa,1790060101.0,1790060101,28.0678,-26.2199,4114.8,False,131.02,200.21,-4.55,,4396.74,677.0,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Low,0,Cruise,1,1,1,0.99,High,Low speed
008728,,South Africa,1790060101.0,1790060101,27.7247,-26.0654,1798.32,False,54.48,320.75,-0.65,,1958.34,,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Low,0,Low,0,1,1,0.99,High,"Low speed, Low altitude"
008d8f,ZSFCW   ,South Africa,1790060099.0,1790060101,26.721,-25.3678,7620.0,False,200.28,118.54,0.0,,8077.2,,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Medium,1,High,2,0,0,0.01,Low,No risk
008dea,SFR301  ,South Africa,1790060100.0,1790060100,18.6223,-34.0302,304.8,False,73.5,344.99,-3.58,,350.52,477.0,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Low,0,Low,0,0,0,0.01,Low,No risk
008feb,FJW31H  ,South Africa,1790059946.0,1790059946,28.2455,-26.1733,1615.44,False,67.77,15.41,-3.9,,1798.32,447.0,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Low,0,Low,0,1,1,0.99,High,"Low speed, Low altitude"
00901b,ZSESW   ,South Africa,1790060018.0,1790060018,27.9559,-25.9258,1455.42,False,48.45,221.99,0.98,,1615.44,,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Low,0,Low,0,1,1,0.99,High,"Low speed, Low altitude"
0092de,ZUFTF   ,South Africa,1790060100.0,1790060101,18.4877,-33.6416,441.96,False,33.06,339.03,0.0,,480.06,,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Low,0,Low,0,0,0,0.01,Low,No risk
009305,ZSTNS   ,South Africa,1790059946.0,1790059946,28.3913,-25.9189,1584.96,False,50.92,71.75,0.0,,1722.12,,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Low,0,Low,0,1,1,0.99,High,"Low speed, Low altitude"
009765,LNK655A ,South Africa,1790060101.0,1790060101,20.0092,-33.2701,8938.26,False,222.33,48.56,5.2,,9334.5,,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Medium,1,High,2,0,0,0.01,Low,No risk
009e21,LNK622N ,South Africa,1790060100.0,1790060100,19.7832,-34.0855,5859.78,False,193.8,264.52,-11.38,,6179.82,,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Medium,1,Cruise,1,1,1,0.99,High,Low speed
00a120,SFR425  ,South Africa,1790060101.0,1790060101,29.5609,-27.054,10607.04,False,222.48,145.17,5.2,,11140.44,441.0,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Medium,1,High,2,0,0,0.01,Low,No risk
00a3b6,ZSNMZ   ,South Africa,1790060101.0,1790060101,28.1497,-23.9225,7620.0,False,142.77,6.0,0.33,,8077.2,,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Low,0,High,2,1,1,0.9883340857146921,High,Low speed
00a9d0,ZSTSM   ,South Africa,1790060098.0,1790060098,28.4417,-27.1082,7010.4,False,128.01,142.35,0.0,,7437.12,,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Low,0,Cruise,1,1,1,0.99,High,Low speed
00ae17,SFR473  ,South Africa,1790060018.0,1790060018,27.8616,-25.9923,1653.54,False,80.87,48.09,-4.55,,1821.18,,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Low,0,Low,0,1,1,0.99,High,"Low speed, Low altitude"
00ae6e,LNK329E ,South Africa,1790060101.0,1790060101,18.9047,-33.9439,2644.14,False,146.05,203.68,-7.15,,2819.4,,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Low,0,Cruise,1,1,1,0.99,High,Low speed
00b017,LNK174H ,South Africa,1790060101.0,1790060101,28.2312,-26.0001,3208.02,False,112.07,324.34,14.31,,3459.48,7360.0,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Low,0,Cruise,1,1,1,0.99,High,Low speed
00b091,SFR310  ,South Africa,1790060100.0,1790060101,27.6964,-26.1275,2827.02,False,123.82,47.69,-6.5,,3063.24,,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Low,0,Cruise,1,1,1,0.99,High,Low speed
00b097,SFR591  ,South Africa,1790060018.0,1790060018,28.2459,-26.172,1600.2,False,78.51,15.58,-3.9,,1775.46,,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Low,0,Low,0,1,1,0.99,High,"Low speed, Low altitude"
00b7d4,GBB202V ,South Africa,1790060018.0,1790060018,28.2068,-26.2993,2354.58,False,73.77,15.78,-2.93,,2522.22,,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Low,0,Cruise,1,1,1,0.99,High,Low speed
00bf8a,LNK920K ,South Africa,1790060100.0,1790060100,28.1742,-26.4026,2872.74,False,125.57,15.69,-2.28,,3108.96,,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Low,0,Cruise,1,1,1,0.99,High,Low speed
00c451,SFR101  ,South Africa,1790060101.0,1790060101,28.2549,-26.0787,2087.88,False,102.69,16.89,5.53,,2278.38,3530.0,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Low,0,Cruise,1,1,1,0.99,High,Low speed
00c469,SFR355  ,South Africa,1790060101.0,1790060101,29.127,-27.6809,10363.2,False,213.96,313.64,0.0,,10904.22,,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Medium,1,High,2,0,0,0.01,Low,No risk
01013d,MSR958  ,Egypt,1790059956.0,1790059956,111.713,23.2818,7360.92,False,224.81,67.25,-11.38,,7840.98,,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Medium,1,Cruise,1,0,0,0.01,Low,No risk
010162,MSR709  ,Egypt,1790060101.0,1790060101,31.4274,31.8328,9738.36,False,237.16,9.99,6.5,,10279.38,,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Medium,1,High,2,0,0,0.01,Low,No risk
0101bf,MSC304  ,Egypt,1790060101.0,1790060101,30.8157,36.2881,10058.4,False,223.35,178.42,0.0,,10507.98,2365.0,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,Medium,1,High,2,0,0,0.01,Low,No risk
0101db,MSR995  ,Egypt,1790059944.0,1790060028,-21.3954,65.6412,10972.8,False,252.63,279.73,0.33,,10675.62,,False,0,2026-09-22 06:55:04.857365,6,1,6648,0,Night,0,High,2,High,2,0,0,0.01,Low,No risk
